registration_number,legal_name,trade_name,address,county,status,status_label,date_first_registered,date_registered_begins,registered_through,deleted_date
027656,1491 LEX PHARMACY INC.,LEXINGTON AVE CHEMISTS,1491 LEXINGTON AVENUE NEW YORK NY 10029,NEW YORK,Discontinued,Establishment Status,"February 06, 2006","February 01, 2009","April 27, 2011","April 27, 2011"
027728,15 W PHARMACY NY LLC,THE WELLMART PHARMACY,200 WESTAGE BUSINESS CENTER DRIVE FISHKILL NY 12524,DUTCHESS,Discontinued,Establishment Status,"August 01, 2006","August 01, 2006","November 21, 2007","November 21, 2007"
021084,1500 MET DRUG INC.,OVAL DRUG,1500 METROPOLITAN AVE. BRONX NY 10462,BRONX,Transfer,Establishment Status,"September 05, 1991","October 01, 2013","July 29, 2015","July 29, 2015"
034109,1525 ALBANY AVE MEAT LLC.,KEYFOOD,1525 ALBANY AVE. BROOKLYN NY 11210,KINGS,Not Active,Establishment Status,Not On File,,"December 30, 2015","December 30, 2015"
019357,158-14 DRUG CORP.,CASTLE PHARMACY,158-14 CROSS BAY BLVD. HOWARD BEACH NY 11414,QUEENS,Transfer,Establishment Status,"January 30, 1987",,"December 23, 1988","December 23, 1988"
026148,"158TH ST. NEIGHBORHOOD PHARMACY, LLC",,3103 3RD AVENUE BRONX NY 10457,FULTON,Discontinued,Establishment Status,"September 22, 2003","January 01, 2005","October 26, 2007","October 26, 2007"
026726,"15W PHARMACY-EDISON, INC.",15W PHARMACY EDISON DEPT,95 NEWFIELD AVENUE EDISON NJ 08837,,Transfer,Establishment Status,"May 17, 2004","May 01, 2007","January 17, 2008","January 17, 2008"
035767,161 ST. PHARMA INC.,161 ST PHARMACY & SURGICAL SUPPLIES,275 E 161ST ST. BRONX NY 10451,BRONX,Active,Establishment Status,"April 25, 2018","April 01, 2021","March 31, 2024",
027268,161 ST. PHARMACY INC.,161 ST. PHARMACY & DISCOUNT STORE,275 EAST 161ST. ST. BRONX NY 10451,BRONX,Transfer,Establishment Status,"August 18, 2005","August 01, 2017","April 25, 2018","April 25, 2018"
029665,1622 VOORHIES AVE PHARMACY INC.,SUNSHINE PHARMACY,1622 VOORHIES AVE BROOKLYN NY 11235,KINGS,Active,Establishment Status,"October 05, 2009","October 01, 2021","September 30, 2024",
019442,163 BROADWAY INC.,BROADWAY PRESCRIPTION CENTER,163 BROADWAY BUFFALO NY 14204,ERIE,Transfer,Establishment Status,"May 19, 1987",,"February 07, 1990","February 07, 1990"
013277,167 STREET PRESCRIPTION CENTER INC.,UNIVERSAL PRESCRIPTION CENTER,112 E. 167TH ST. BRONX NY 10452,BRONX,Discontinued,Establishment Status,"April 03, 1971","May 01, 2010","December 28, 2012","December 28, 2012"
038398,168 DME INC,168 PHARMACY,135-05 38TH AVE. FLUSHING NY 11354,QUEENS,Active,Establishment Status,"September 29, 2020","September 29, 2020","August 31, 2023",
017963,168TH ST. DRUGS INC.,QUEENSBRIDGE PHARMACY,10-37 41ST AVE. LONG ISLAND CITY NY 11101,QUEENS,Discontinued,Establishment Status,"November 30, 1983",,"June 21, 1994","June 21, 1994"
039526,169 DME INC.,169 PHARMACY,136-46 41ST AVE UNIT 1D FLUSHING NY 11355,QUEENS,Active,Establishment Status,"May 12, 2022","May 12, 2022","April 30, 2025",
019323,1698 86TH STREET PHARMACY CORP.,BENSONHURST PHARMACY,1698 86TH ST. BROOKLYN NY 11214,KINGS,Discontinued,Establishment Status,"December 01, 1986",,"April 08, 1996","April 08, 1996"
038082,16TH AVE PHARMACY LLC,,4605 16TH AVE. BROOKLYN NY 11204-1105,KINGS,Active,Establishment Status,"April 07, 2020","April 07, 2020","March 31, 2023",
024523,16TH AVENUE PHARMACY INC.,,4408 16TH AVENUE BROOKLYN NY 11204,KINGS,Discontinued,Establishment Status,"December 08, 1999","January 01, 2011","May 30, 2012","May 30, 2012"
021107,1717 SHERIDAN DRIVE BAZAAR SUPERMARKET CO.,BELLS PHARMACY,1717 SHERIDAN DR. TONAWANDA NY 14223,ERIE,Transfer,Establishment Status,"October 16, 1991",,"May 17, 1993","May 17, 1993"
020635,1717 SHERIDAN DRIVE SUPERMARKET CO.,BELLS PHARMACY,1717 SHERIDAN DRIVE TONAWANDA NY 14223,ERIE,Transfer,Establishment Status,"October 01, 1990",,"October 16, 1991","October 16, 1991"
020853,1717-1721 AVE. U CORP.,MORRIS DRUGS,1717-1721 AVENUE U BROOKLYN NY 11229,KINGS,Transfer,Establishment Status,"February 27, 1991","January 01, 2005","March 15, 2005","March 15, 2005"
031604,1721 CARNEGIE HILL PHARMACY INC.,CARNEGIE HILL PHARMACY,1721 BROADWAY NEW YORK NY 10019-5214,NEW YORK,Discontinued,Establishment Status,"February 14, 2013","February 01, 2022","April 15, 2022","April 15, 2022"
020952,1725 FOSTER DRUG CORP.,WILLNER DRUG,1725 FOSTER AVE. BROOKLYN NY 11230,KINGS,Discontinued,Establishment Status,"July 31, 1991",,"March 25, 2004","March 25, 2004"
019502,"1733 PRESCRIPTIONS, LTD.",,1701-1703 MACOMBS RD. BRONX NY 10453,BRONX,Discontinued,Establishment Status,"July 29, 1987",,"April 05, 1996","April 05, 1996"
039842,175 JERICHO PHARMACY CORP,SYOSSET PHARMACY,175 JERICHO TURNPIKE WEST LOBBY SUITE SYOSSET NY 11791,NASSAU,Not Active,Establishment Status,Not On File,,"October 11, 2022","October 11, 2022"
036613,175 JERICHO PHARMACY CORP.,SYOSSET PHARMACY,175 JERICHO TPKE. WEST LOBBY SUITE SYOSSET NY 11791-4532,NASSAU,Active,Establishment Status,"May 24, 2018","May 01, 2021","April 30, 2024",
018665,176TH STREET PHARMACY INC.,,1846 JEROME AVE. BRONX NY 10453,BRONX,Discontinued,Establishment Status,"June 20, 1985",,"April 01, 1988","April 01, 1988"
016468,1772 COLVIN PHARMACY INC.,ASK ME PHARMACY OF KENMORE,1770 COLVIN BLVD. KENMORE NY 14223,ERIE,Discontinued,Establishment Status,"June 26, 1979",,"November 21, 1991","November 21, 1991"
026615,"179 ATLANTIC, INC.",HEALTH MART PHARMACY,29 ATLANTIC AVENUE FREEPORT NY 11520,NASSAU,Active,Establishment Status,"April 27, 2004","May 01, 2022","April 30, 2025",
018417,"179 JAMAICA AVENUE DRUG STORE, INC.",,179 JAMAICA AVE. BROOKLYN NY 11207,KINGS,Discontinued,Establishment Status,"December 26, 1984",,"May 13, 1993","May 13, 1993"
018409,1797 DRUG CORP.,FRIENDLY PHARMACY,1797 BROADWAY BROOKLYN NY 11207,KINGS,Discontinued,Establishment Status,"December 13, 1984",,"August 04, 1992","August 04, 1992"
020760,17TH STREET APOTHECARY INC.,,11 EAST 17TH ST. NEW YORK NY 10003,NEW YORK,Discontinued,Establishment Status,"December 19, 1990",,"November 10, 2004","November 10, 2004"
033547,184 WELL CARE PHARMACY INC.,WELLCARE PHARMACY,70 EAST 184TH ST. BRONX NY 10468,BRONX,Transfer,Establishment Status,"July 01, 2015","July 01, 2015","August 23, 2017","August 23, 2017"
028368,1875 LEXINGTON AVENUE CORP. OF NEW YORK,QUICK RX,C/O PHARMACY 1875 LEXINGTON AVENUE NEW YORK NY 10035,NEW YORK,Discontinued,Establishment Status,"May 02, 2007","May 01, 2016","August 13, 2018","August 13, 2018"
037007,1875 LEXINGTON AVENUE CORP. OF NEW YORK,,279 MAIN STREET SUITE 103 NEW PALTZ NY 12561-1623,ULSTER,Transfer,Establishment Status,"February 13, 2019","February 13, 2019","October 29, 2020","October 29, 2020"
038230,1875 LEXINGTON AVENUE LLC OF NYS,QUICK RX,279 MAIN ST. SUITE 103 NEW PALTZ NY 12561-1623,ULSTER,Active,Establishment Status,"October 29, 2020","October 29, 2020","September 30, 2023",
025629,18TH AVE. PHARMACY CORP.,,5411 18TH AVE. BROOKLYN NY 11204,KINGS,Transfer,Establishment Status,"March 14, 2003","April 01, 2016","May 20, 2016","May 20, 2016"
027708,"18TH AVENUE DRUG STORE, INC.",RX WORLD PHARMACY,8110 18TH AVENUE BROOKLYN NY 11214,KINGS,Discontinued,Establishment Status,"April 04, 2006","April 01, 2009","August 02, 2011","August 02, 2011"
016514,"195 5TH AVE. FARMACIA, INC.",,"195 5TH AVE. BROOKLYN, NY 11217",KINGS,Discontinued,Establishment Status,"August 29, 1979",,"November 25, 1998","November 25, 1998"
016936,1951 FLATBUSH AVENUE PHARMACY CORP.,BERKELEY PHARMACY,1951 FLATBUSH AVE. BROOKLYN NY 11234,KINGS,Transfer,Establishment Status,"November 01, 1980","December 01, 2007","January 09, 2009","January 09, 2009"
036986,"1ST AMERICA INFUSION SERVICES, LLC",ADVANCED INFUSIONCARE,212 NORTHSIDE DRIVE VALDOSTA GA 31602,,Active,Establishment Status,"October 01, 2018","October 01, 2021","September 30, 2024",
032975,1ST BRONXCARE PHARMACY INC.,,438 E. 149TH STREET BRONX NY 10455,BRONX,Transfer,Establishment Status,"December 08, 2014","December 08, 2014","April 13, 2017","April 13, 2017"
035471,"1ST CHOICE PRESCRIPTIONS, LLC",1ST CHOICE PRESCRIPTIONS,8111 LBJ FWY STE. 540 DALLAS TX 75251,,Discontinued,Establishment Status,"April 19, 2017","April 19, 2017","December 15, 2020","December 15, 2020"
035883,"1ST CHOICE PRESCRIPTIONS, LLC",1ST CHOICE PRESCRIPTIONS,8111 LBJ FWY STE 540 DALLAS TX 77478,,Not Active,Establishment Status,Not On File,,"March 08, 2018","March 08, 2018"
015909,2 D CHEMISTS INC.,MID-VILLAGE PHARMACY,51 BROADWAY GREENLAWN NY 11740,SUFFOLK,Transfer,Establishment Status,"August 22, 1977","September 01, 2010","May 23, 2011","May 23, 2011"
031932,"200 BASSETT ROAD OPERATING COMPANY, LLC.",,200 BASSETT ROAD WILLIAMSVILLE NY 14221-2639,ERIE,Not Registered,Establishment Status,"August 06, 2013","August 01, 2019","July 31, 2022",
027339,2001 BATH AVE PHARMACY INC.,FAMILY PHARMACY,2001 BATH AVE BROOKLYN NY 11214,KINGS,Transfer,Establishment Status,"July 06, 2005","July 06, 2005","October 04, 2007","October 04, 2007"
017620,203 WEST 231ST STREET PHARMACY INC.,STUART PHARMACY,203 W. 231ST ST. BRONX NY 10463,BRONX,Discontinued,Establishment Status,"November 18, 1982",,"December 31, 1998","December 31, 1998"
022909,207TH STREET ENTERPRISES INC.,FARMACIA SAN JUDA TADEO,520 W. 207TH ST. NEW YORK NY 10034,NEW YORK,Transfer,Establishment Status,"May 28, 1996",,"August 05, 1999","August 05, 1999"
028463,21 AVE PHARMACY & MEDICAL SUPPLY INC.,,8511 21ST AVE BROOKLYN NY 11214,KINGS,Active,Establishment Status,"July 27, 2007","July 01, 2022","June 30, 2025",
022085,21 GRAHAM AVENUE PHARMACY CORP.,SAM'S DRUGS,21 GRAHAM AVE. BROOKLYN NY 11206,KINGS,Transfer,Establishment Status,"May 16, 1994",,"March 21, 1996","March 21, 1996"
017107,210 MERIT DYCKMAN CORP.,MERIT PHARMACY,210 DYCKMAN ST. NEW YORK NY 10040,NEW YORK,Discontinued,Establishment Status,"May 16, 1981",,"September 30, 1988","September 30, 1988"
026566,2101 CHURCH & FLATBUSH PHARMACY LLC,THRIFTWAY PHARMACY SUPER CENTER,C/O PHARMACY 2101 CHURCH AVE. BROOKLYN NY 11226,KINGS,Discontinued,Establishment Status,"July 28, 2004","July 28, 2004","July 25, 2005","July 25, 2005"
039026,"211 MCLEAN AVE. PHARMACY, INC.",MCLEAN AVE PHARMACY,211 MCLEAN AVE YONKERS NY 10705,WESTCHESTER,Active,Establishment Status,"September 23, 2021","September 23, 2021","August 31, 2024",
019807,2121 MAIN PRESCRIPTION CENTER INC.,,2121 MAIN ST. SUITE 116 BUFFALO NY 14214,ERIE,Discontinued,Establishment Status,"April 27, 1988",,"November 20, 1992","November 20, 1992"
014742,2121 MAIN PRESCRIPTION CENTER INC.,SETON MEDICAL CENTER,2121 MAIN ST. SUITE 110 BUFFALO NY 14214,ERIE,Transfer,Establishment Status,"September 27, 1974",,"June 20, 1991","June 20, 1991"
020741,2121 MAIN PRESCRIPTION CENTER INC.,MPC HEALTH CARE SERVICES,2470 WALDEN AVE. BUFFALO NY 14225,ERIE,Transfer,Establishment Status,"September 28, 1990",,"March 28, 1994","March 28, 1994"
021498,"2121 MAIN PRESCRIPTION CENTER, INC.",HAMBURG MAIN PRESCRIPTION CENTER,206 LAKE ST. HAMBURG NY 14075,ERIE,Discontinued,Establishment Status,"December 21, 1992",,"January 08, 1993","January 08, 1993"
020979,"2121 MAIN STREET PHARMACY, INC.",,25 GARDENVILLE PARKWAY WEST SENECA NY 14224,ERIE,Discontinued,Establishment Status,"June 20, 1991","July 01, 2016","May 11, 2018","May 11, 2018"
019656,215-22 73RD. AVE. INC.,STEWART DRUGS,215-22 73RD. AVE. BAYSIDE NY 11364,QUEENS,Discontinued,Establishment Status,"November 15, 1989",,"June 26, 1995","June 26, 1995"
029720,"21ST CENTURY GLOBAL CORP, INC.",,96 S MADISON ST CARTHAGE IL 62321,,Discontinued,Establishment Status,"August 05, 2009","August 05, 2009","July 31, 2012","July 31, 2012"
031121,21ST CENTURY HEALTH SPECIALIST INC,,1331 MAKALOA ST #134 HONOLULU HI 96814,,Discontinued,Establishment Status,"January 10, 2012","January 10, 2012","December 29, 2017","December 29, 2017"
033152,21ST CENTURY HEALTH SPECIALIST INC,,7402 W DETROIT ST #140 CHANDLER AZ 85226,,Discontinued,Establishment Status,"November 13, 2014","November 13, 2014","October 31, 2017","October 31, 2017"
032283,21ST CENTURY PHARMACY INC.,,96-05 57TH AVE. CORONA NY 11368,QUEENS,Active,Establishment Status,"October 02, 2013","October 01, 2022","September 30, 2025",
038924,2205 HEALTH INC,MEDLAND PHARMACY,1871 86TH STREET BROOKLYN NY 11214,KINGS,Active,Establishment Status,"July 08, 2021","July 08, 2021","June 30, 2024",
035559,222 CHELSEA PHARMACY INC,BIO CARE PHARMACY,222 8TH AVE. NEW YORK NY 10011-1610,NEW YORK,Transfer,Establishment Status,"June 23, 2017","June 01, 2020","December 20, 2021","December 20, 2021"
017459,222 JAMAICA ECONOMY DRUG INC.,ECONOMY DRUG,221-21 JAMAICA AVE. QUEENS VILLAGE NY 11428,QUEENS,Transfer,Establishment Status,"May 19, 1982",,"August 02, 1993","August 02, 1993"
022153,222 JAMAICA ECONOMY DRUG INC.,ECONOMY DRUG STORE,221-21 JAMAICA AVE. QUEENS VILLAGE NY 11428,QUEENS,Transfer,Establishment Status,"July 20, 1994","August 01, 2016","August 22, 2016","August 22, 2016"
019324,224 HIGHLAND PARKWAY INC.,BUFFALO PHARMACIES,224 HIGHLAND PKWY. BUFFALO NY 14223,ERIE,Transfer,Establishment Status,"December 03, 1986",,"March 05, 1993","March 05, 1993"
017646,"227 NINTH AVENUE PHARMACY, INC.",LONDON TERRACE PHARMACY,227 NINTH AVE. NEW YORK NY 10011,NEW YORK,Transfer,Establishment Status,"January 04, 1983",,"September 29, 2000","September 29, 2000"
017512,235 BEACH 20TH ST. PHARMACY INC.,WAVE CREST DRUGS,235 BEACH 20TH ST. FAR ROCKAWAY NY 11691,QUEENS,Discontinued,Establishment Status,"July 23, 1982",,"November 08, 1993","November 08, 1993"
028194,2355 2ND AVE CORP.,QUICK RX,2355 2ND AVENUE NEW YORK NY 10035,NEW YORK,Transfer,Establishment Status,"February 01, 2007","February 01, 2019","November 10, 2020","November 10, 2020"
038283,2355 2ND AVE NYS LLC,QUICK RX,2355 2ND AVE NEW YORK NY 10035,NEW YORK,Active,Establishment Status,"November 10, 2020","November 10, 2020","October 31, 2023",
020129,236 WILLIS AVE. PHARMACY CORP.,WILLIS PHARMACY,236 WILLIS AVENUE BRONX NY 10454,BRONX,Discontinued,Establishment Status,"March 03, 1989",,"August 29, 1991","August 29, 1991"
015765,237 UTICA AVE. PHARMACY INC.,RONSON DRUG,237 UTICA AVE. BROOKLYN NY 11213,KINGS,Discontinued,Establishment Status,"February 10, 1977",,"October 15, 1997","October 15, 1997"
018511,"2548 LINDEN BLVD. PHARMACY, INC.",,2548 LINDEN BLVD. BROOKLYN NY 11208,KINGS,Discontinued,Establishment Status,"March 18, 1985",,"December 31, 1991","December 31, 1991"
015922,255 COLUMBUS AVENUE CORPORATION,WESTSIDE PHARMACY,255 COLUMBUS AVE. NEW YORK NY 10023,NEW YORK,Active,Establishment Status,"August 30, 1977","September 01, 2022","August 31, 2025",
019014,27 BROADWAY DRUGS INC.,SUBA PHARMACEUTICAL,2721 BROADWAY NEW YORK NY 10025,NEW YORK,Discontinued,Establishment Status,"March 20, 1986","April 01, 2022","April 29, 2022","April 29, 2022"
015533,"2702 THIRD AVENUE PHARMACY, INC.",,2702 THIRD AVE. BRONX NY 10454,BRONX,Transfer,Establishment Status,"August 01, 1976","January 01, 2005","June 21, 2005","June 21, 2005"
020267,2734 CAREL CHEMISTS INC.,HYLAN PRESCRIPTION CENTER,2734 HYLAN BLVD. STATEN ISLAND NY 10306,RICHMOND,Discontinued,Establishment Status,"September 19, 1989",,"April 27, 1998","April 27, 1998"
035024,274 BRIGHTON BEACH DRUG INC.,PHARMACY EXPRESS,274 BRIGHTON BEACH AVE BROKKLYN NY 11235-7411,KINGS,Active,Establishment Status,"December 14, 2016","December 01, 2022","November 30, 2025",
011341,"276 WEST 125TH STREET CO., INC.",,276 W. 125TH ST. NEW YORK NY 10027,NEW YORK,Transfer,Establishment Status,"June 20, 1966",,"October 12, 1994","October 12, 1994"
028392,"2818 FULTON STREET PHARMACY, INC.",FULTON PHARMACY,2818 FULTON STREET BROOKLYN NY 11207,KINGS,Active,Establishment Status,"August 28, 2007","August 01, 2022","July 31, 2025",
033317,2M PHARMACY INC,WEBSTER'S COMMUNITY PHARMACY,2450 NORTH LAKE AVE ALTADENA CA 91001,,Discontinued,Establishment Status,"December 31, 2014","December 31, 2014","November 30, 2017","November 30, 2017"
036518,2ND AVE RX LLC,DRUG STOP PHARMACY,2062 2ND AVE. NEW YORK NY 10029-4704,NEW YORK,Transfer,Establishment Status,"April 10, 2018","April 01, 2021","October 08, 2021","October 08, 2021"
020059,2ND AVE. DRUGS INC.,,2240 2ND AVENUE NEW YORK NY 10029,NEW YORK,Discontinued,Establishment Status,"December 13, 1988",,"July 25, 1991","July 25, 1991"
019135,2ND AVENUE FARMACIA INC.,,54-14 2ND AVE. BROOKLYN NY 11220,KINGS,Discontinued,Establishment Status,"June 05, 1986",,"November 28, 1988","November 28, 1988"
021557,2R DRUG CORP.,SUNRISE PHARMACY,111-21 JAMAICA AVE. RICHMOND HILL NY 11418,QUEENS,Active,Establishment Status,"March 17, 1993","April 01, 2022","March 31, 2025",
035106,3 GEM PHARMACY INC.,,1398 GRAND CONCOURSE BRONX NY 10456-1220,BRONX,Transfer,Establishment Status,"December 14, 2016","December 14, 2016","March 12, 2019","March 12, 2019"
016075,3 RIVERS PHARMACY INC.,TRI-R NEIGHBORHOOD PHARMACY,3 RIVERS SHOPPING MALL RTE 57 PHOENIX NY 13135,OSWEGO,Discontinued,Establishment Status,"March 03, 1978",,"November 05, 1997","November 05, 1997"
028317,3 W 137 PHARMACY & MEDICAL SUPPLY  INC.,FAMILY PHARMACY,3 WEST 137 STREET STORE 2 NEW YORK NY 10037,NEW YORK,Transfer,Establishment Status,"April 25, 2007","April 01, 2013","July 26, 2013","July 26, 2013"
017397,"3-9 DRUGS, INC.",FARMACIA CENTRAL,102 NAGLE AVE. NEW YORK NY 10040,NEW YORK,Discontinued,Establishment Status,"March 05, 1982","April 01, 2007","September 01, 2009","September 01, 2009"
016062,"30 ROCKNE RD., INC.",IVYLEA DRUGS,2446 ELMWOOD AVE KENMORE NY 14217,ERIE,Transfer,Establishment Status,"February 15, 1978","March 01, 2007","July 29, 2008","July 29, 2008"
019402,304 ENTERPRISES CORP.,,304 EAST 110TH ST. NEW YORK NY 10029,NEW YORK,Discontinued,Establishment Status,"March 23, 1987",,"May 22, 1992","May 22, 1992"
018269,306 SUMNER PHARMACY INC.,,306 SUMNER AVE. BROOKLYN NY 11221,KINGS,Discontinued,Establishment Status,"September 05, 1984",,"December 08, 1993","December 08, 1993"
034410,30TH AVENUE PHARMACY INC.,,35-06 30TH AVENUE ASTORIA NY 11103-4623,QUEENS,Active,Establishment Status,"March 31, 2016","March 01, 2022","February 28, 2025",
026599,311 PHARMACY CORP.,HEIDI PHARMACY,522 WEST 181ST STREET NEW YORK NY 10033,NEW YORK,Transfer,Establishment Status,"April 02, 2004","May 01, 2010","January 25, 2013","January 25, 2013"
031804,3110 CUIDAMED PHARMACY INC.,FARMACIA CUIDA RX MED PHARMACY,3110 THIRD AVE. BRONX NY 10451,BRONX,Transfer,Establishment Status,"June 19, 2013","June 01, 2016","October 31, 2018","October 31, 2018"
014621,3112 MERMAID DRUG & SURGICAL SUPPLY CORP.,,3112 MERMAID AVE. BROOKLYN NY 11224,KINGS,Discontinued,Establishment Status,"June 20, 1974",,"April 06, 1993","April 06, 1993"
035103,31ST & 3RD PHARMACY INC.,PARAMOUNT SPECIALTY PHARMACY,1860 WALT WHITMAN RD. MELVILLE NY 11747,SUFFOLK,Discontinued,Establishment Status,"April 04, 2017","April 01, 2020","March 15, 2021","March 15, 2021"
031325,32-24 DRUG CORP.,ATHENA'S PHARMACY,32-84 STEINWAY ST. ASTORIA NY 11103-4006,QUEENS,Active,Establishment Status,"June 06, 2012","June 01, 2021","May 31, 2024",
018297,"331 PENN SUTTER PHARMACY, INC.",,642 SUTTER AVE. BROOKLYN NY 11207,KINGS,Transfer,Establishment Status,"September 26, 1984",,"October 05, 1995","October 05, 1995"
019306,333 SWAN STREET INC.,BUFFALO PHARMACIES,333 SWAN STREET BUFFALO NY 14204,ERIE,Transfer,Establishment Status,"November 24, 1986",,"March 05, 1993","March 05, 1993"
023801,336 EAST 86TH STREET PHARMACY CORP,PRICE PHARMACY,336 EAST 86TH STREET NEW YORK NY 10028,NEW YORK,Discontinued,Establishment Status,"September 30, 1998",,"April 19, 2001","April 19, 2001"
016398,34-02 DRUG CORP.,PETER'S PHARMACY,34-02 30TH AVE. LONG ISLAND CITY NY 11103,QUEENS,Discontinued,Establishment Status,"April 05, 1979",,"October 24, 1988","October 24, 1988"
016200,343 PHARMACY INC,GRAMERCY PHARMACY,369 1ST AVE. NEW YORK NY 10010,NEW YORK,Discontinued,Establishment Status,"July 20, 1978",,"March 31, 1989","March 31, 1989"
037579,35 VALLEY AVE LLC,AHMA RX,35 VALLEY AVE SUITE A ELMSFORD NY 10523-3001,WESTCHESTER,Active,Establishment Status,"August 12, 2019","August 01, 2022","July 31, 2025",
013282,"353 EMPIRE PHARMACY, INC.",WELLPHA,505 UNION AVE. BROOKLYN NY 11211-1395,KINGS,Active,Establishment Status,"March 24, 1971","April 01, 2022","March 31, 2025",
028449,360 KNICKER CORP.,QUICK RX,360 KNICKERBOCKER AVE BROOKLYN NY 11237,KINGS,Transfer,Establishment Status,"June 18, 2007","June 18, 2007","May 19, 2010","May 19, 2010"
036804,360 PHARMACY CARE LLC.,360 PHARMACY CARE,2441 PRODUCTION DRIVE SUITE 101 INDIANAPOLIS IN 46241,,Not Registered,Establishment Status,"July 10, 2018","July 10, 2018","June 30, 2021",
038484,365 HEALTH LLC,365 PHARMACY,6804 ALOMA AVE WINTER PARK FL 32792,,Active,Establishment Status,"September 25, 2020","September 25, 2020","August 31, 2023",
028883,370 PHARMACY CORP.,PROHEALTH PHARMACY,370 LEXINGTON AVE. NEW YORK NY 10017,NEW YORK,Discontinued,Establishment Status,"May 21, 2008","May 01, 2017","April 16, 2019","April 16, 2019"
032780,37TH AVE. PHARMACY INC.,,95-07 ROOSEVELT AVE JACKSON HEIGHTS NY 11372,QUEENS,Discontinued,Establishment Status,"May 05, 2014","May 01, 2020","November 10, 2022","November 10, 2022"
018271,385 KNICKERBOCKER DRUG CORP.,,385 KNICKERBOCKER AVE. BROOKLYN NY 11237,KINGS,Discontinued,Establishment Status,"September 05, 1984",,"May 01, 1991","May 01, 1991"
018894,3906 PHARMACY INC.,MEDICAL ARTS II PHARMACY,3906 13TH AVE. BROOKLYN NY 11218,KINGS,Discontinued,Establishment Status,"November 29, 1985",,"March 20, 1995","March 20, 1995"
022891,"3921 9TH AVE. PHARMACY, INC.",,3921 NINTH AVE. BROOKLYN NY 11232,KINGS,Transfer,Establishment Status,"May 23, 1996","June 01, 2013","April 16, 2014","April 16, 2014"
015040,395 BROADWAY CORP,BROADWAY VARIETY DRUGS,395 BROADWAY BROOKLYN NY 11211,KINGS,Discontinued,Establishment Status,"April 01, 1975",,"June 28, 1988","June 28, 1988"
031509,39TH STREET PHARMACY INC.,39TH STREET PHARMACY,3902 16TH AVE. BROOKLYN NY 11218,KINGS,Active,Establishment Status,"October 10, 2012","October 01, 2021","September 30, 2024",
028909,3M COMPANY,3M ESPE DENTAL PRODUCTS,3M ESPE DENTAL PRODUCTS 2501 S.E. OTIS CORLEY DR BENTONVILLE AR 72712,,Discontinued,Establishment Status,"April 01, 2008","April 01, 2014","March 31, 2017","March 31, 2017"
033177,3M COMPANY,3M ESPE DENTAL PRODUCTS,2111 MCGAW AVE IRVINE CA 92614,,Not Active,Establishment Status,Not On File,,"July 09, 2015","July 09, 2015"
027227,"3M ESPE OMNI PREVENTIVE CARE, INC.","OMNI PREVENTIVE CARE, A 3M ESPE COMPANY",OMNI PREVENTIVE CARE A 3M ESPE COMPANY   STE 1 1500 N FLORIDA MANGO RD WEST PALM BEACH FL 33409,,Discontinued,Establishment Status,"April 13, 2005","April 01, 2005","April 03, 2008","April 03, 2008"
039251,3RD AVENUE CHEMISTS INC.,,3216 3RD AVE STORE #2 BRONX NY 10451,BRONX,Active,Establishment Status,"May 06, 2022","May 06, 2022","April 30, 2025",
019562,3RD AVENUE M & N PHARMACY INC.,,2240 THIRD AVENUE NEW YORK NY 10035,NEW YORK,Transfer,Establishment Status,"October 08, 1987",,"April 08, 1991","April 08, 1991"
022003,40-06 MAIN PHARMACY INC.,PRESCRIPTION HEADQUARTERS,40-06 MAIN ST. FLUSHING NY 11375,QUEENS,Not Active,Establishment Status,Not On File,,"July 14, 1994","July 14, 1994"
008536,"405 86TH ST. PHARMACY, INC.",GLOBE DRUG STORE,405 86TH ST. BROOKLYN NY 11209,KINGS,Active,Establishment Status,"February 11, 1960","March 01, 2022","February 28, 2025",
019574,405 STONE AVE. PHARMACY CORP.,BROOKLYN CENTRAL PHARMACY,397 MOTHERGASTON BLVD. BROOKLYN NY 11212,KINGS,Transfer,Establishment Status,"October 13, 1987",,"November 30, 2000","November 30, 2000"
017523,"407 GRAND STREET PHARMACY, INC.",LEVITT PHARMACY,407 GRAND STREET NEW YORK NY 10002,NEW YORK,Transfer,Establishment Status,"August 03, 1982",,"April 07, 2003","April 07, 2003"
031475,41 AVENUE PHARMACY LLC.,AA RX PHARMACY,136-33 37TH AVENUE UNIT 1A FLUSHING NY 11354,QUEENS,Active,Establishment Status,"September 06, 2012","September 01, 2021","August 31, 2024",
021535,418 AVENUE P PHARMACEUTICAL CORP.,COMMUNITY CHEMISTS,418 AVENUE P BROOKLYN NY 11223,KINGS,Transfer,Establishment Status,"January 19, 1993",,"February 26, 1997","February 26, 1997"
018836,"4180 BROADWAY HEALTH & BEAUTY AIDS, INC.",ST. JESUS PHARMACY,4180 BROADWAY NEW YORK NY 10033,NEW YORK,Transfer,Establishment Status,"October 23, 1985",,"May 13, 1996","May 13, 1996"
022634,42 LAKE RD. PHARMACY CORP.,CONGERS DRUGS,42 LAKE RD. W. CONGERS NY 10920,ROCKLAND,Discontinued,Establishment Status,"September 12, 1995",,"November 28, 1997","November 28, 1997"
022924,420 2ND AVE DRUG CORP.,HALPERN PHARMACY,331 E. 23RD. ST. NEW YORK NY 10010,NEW YORK,Active,Establishment Status,"August 06, 1996","September 01, 2022","August 31, 2025",
